cell_id,cycle,height_mean,height_std,height_median,roughness_mean,roughness_std,roughness_median,length_mean,length_std,length_median,wideth_mean,wideth_std,wideth_median,adhesion_mean,adhesion_std,adhesion_median,elastic_modulus_mean,elastic_modulus_std,elastic_modulus_median
217,P8,2.34105,0.034440604860511405,2.348,113.69000000000001,15.84221209965724,117.6,98.4405,0.3148345430121773,98.32,36.544,0.3012500272985365,36.54,584.63,6.719343639624985,583.75,6.4313,0.9404620980638914,6.507
218,P8,2.28855,0.02956433662370942,2.2915,130.55,10.977369064532146,133.0,101.69,0.4745080555025814,101.7,32.1515,0.3137091344743267,32.16,592.5699999999999,13.298401170223809,591.9000000000001,5.43135,0.42419735662592384,5.4425
219,P8,2.04815,0.01992426449808055,2.053,222.545,23.99998848683934,224.8,86.4855,0.41810946690524387,86.3,31.4835,0.24004988516644005,31.450000000000003,598.765,5.773649306616195,600.25,7.61715,0.19607095251732856,7.543
220,P8,2.13095,0.061017232251053065,2.158,101.83149999999999,16.889369834930267,98.59,86.245,0.3954943608620549,86.18,23.5075,0.2531875734873676,23.555,593.74,2.377172136893122,594.0,4.8419,0.40720108830378804,5.006
221,P8,3.08005,0.09538149163946015,3.096,135.53199999999998,17.352894070776177,134.155,79.748,0.40088848692294404,79.745,27.670499999999997,0.306808272035605,27.744999999999997,502.63,6.579641647576744,502.54999999999995,5.07245,0.47530494089805686,4.885
222,P8,2.40655,0.06587665907228685,2.41,176.44,20.124779174989847,173.45,85.5355,0.2698630256844729,85.53,19.9235,0.31081006215507573,20.08,529.225,4.487981025384425,528.55,4.107225,0.26469518094553496,3.9762500000000003
223,P8,2.7125,0.06979330385615719,2.7155,153.01500000000001,19.672055387221096,151.0,99.444,0.3678872825086228,99.41999999999999,27.5815,0.31074232005583663,27.575,528.775,3.215566578544531,528.4000000000001,5.5172,0.5558072933746201,5.696
224,P8,2.9099,0.054419327062126925,2.9215,152.77,11.732281152982639,149.25,107.41,0.30418138632972214,107.5,39.3355,0.2798773227495828,39.269999999999996,599.15,3.856163896931752,599.5,4.26535,0.26313220111411256,4.1065
225,P8,2.7016,0.11769156836051556,2.716,172.63,29.905026861364753,175.75,86.5595,0.3412280453704929,86.625,30.488,0.2123452997261523,30.43,576.9399999999999,7.879914506616095,575.0,5.91295,0.36629373818232136,5.833
226,P8,2.0460000000000003,0.050683745967155525,2.045,138.5,17.04927842276154,138.9,92.3885,0.2648986896711185,92.39500000000001,23.4675,0.3254126934411617,23.39,573.995,5.081594755896792,573.0,5.3632,0.18979562415231924,5.314
227,P8,1.7489999999999999,0.03694376950533284,1.764,137.44,21.76347495473237,136.75,82.5335,0.25947872846596903,82.565,22.643,0.31094253996179877,22.7,584.005,4.8924727361206735,585.1500000000001,5.6149000000000004,0.16700107153769064,5.654
228,P8,1.9602,0.038500307585920976,1.9575,151.3,11.32342704308197,148.5,97.33500000000001,0.23214106419203623,97.28999999999999,36.679500000000004,0.20813646838957237,36.715,586.1800000000001,4.940871433898619,587.5999999999999,4.57325,0.08514809080901967,4.6025
229,P8,2.4196999999999997,0.03752206368468952,2.432,160.20499999999998,7.702663585785723,159.5,96.6385,0.23061188630524496,96.66499999999999,23.5,0.2910778517673139,23.55,554.46,7.175645945616453,554.0,4.77455,0.027825537305069082,4.7695
230,P8,1.5741,0.01630918372219202,1.579,204.255,15.690408568696732,207.75,105.74000000000001,0.4357691325026412,105.7,43.451,0.3458308074310613,43.375,578.21,7.11380422322095,576.75,5.60255,0.42478148871848803,5.522
231,P8,2.1834499999999997,0.04483710282203439,2.1935000000000002,219.83,22.41137164359577,222.4,84.46900000000001,0.2531673047818885,84.505,24.554499999999997,0.31204714556078195,24.64,530.21,4.407398086710229,530.0999999999999,4.7147,0.06147836589959257,4.721500000000001
232,P8,2.7235,0.04388801538845009,2.7365000000000004,154.175,14.412636085996503,154.0,73.01599999999999,0.28919852951508107,72.955,32.7875,0.44010614748334526,32.715,559.515,10.711935055422,555.9,3.7289499999999998,0.4128758542862873,3.609
233,P8,2.2008,0.07612150951292483,2.2300000000000004,97.49249999999999,10.36682099930248,95.32,83.688,0.268555590638433,83.665,20.6575,0.21598915664790616,20.62,600.71,8.333060346405905,596.55,5.1388,0.1377754083931334,5.1085
234,P8,2.85865,0.10129128138300228,2.873,164.075,17.13426468558804,160.2,118.63499999999999,0.2719810364906456,118.6,33.9125,0.6776808362271094,34.055,560.1949999999999,5.627795211925236,560.3499999999999,4.6034999999999995,0.2624962155115661,4.5865
235,P8,2.29655,0.060553130215930014,2.3005,100.309,4.0435795762509334,98.925,93.759,0.28172214755154174,93.755,32.597,0.1747810660587466,32.599999999999994,566.26,6.490268018145943,566.7,4.3194,0.06446737240855392,4.316
236,P8,2.21955,0.05323579622772631,2.237,108.24249999999999,19.374510078695504,100.4,96.3715,0.5111522072214564,96.47,30.349,0.297779501609745,30.355,560.88,3.6328327355123715,560.3499999999999,4.64825,0.5408203199039885,4.776
237,P8,1.95865,0.022907767011947838,1.9625,161.815,21.032162713830754,152.65,93.5565,0.29437310732434424,93.505,20.631,0.232716226562015,20.61,567.025,6.219652638802935,567.45,3.80255,0.3666468938049823,3.7954999999999997
